units,batch_size,epochs,optimizer,look_back,learning_rate,rmse
128,30,30,sgd,2,0.0003852989464575017,302.84420633437406
52,22,95,sgd,2,0.0005954170074279363,295.2695636265497
59,8,63,sgd,3,0.0004327070867111168,265.9903377733083
120,25,77,sgd,1,0.0005826049138004882,273.16301699609494
111,27,86,adam,1,0.0009782530708402778,50.047622678468734
78,22,53,adam,2,0.00016215437582169925,156.49215889703194
101,14,23,rmsprop,4,0.00027600296293758185,112.94130951964704
59,8,26,rmsprop,1,0.0021596693945560405,51.18882578258809
19,17,27,sgd,5,0.00027641144569625053,342.80345422500665
76,19,69,sgd,2,0.00021940058959441153,321.1331836842012
128,32,20,rmsprop,5,0.003,70.9625141387463
128,5,100,adam,1,0.0014034292406112728,50.07665958993796
4,18,100,adam,5,0.0012700117594570412,60.75384405039575
128,18,20,rmsprop,1,0.001386014395113112,102.02463289992511
107,32,100,adam,4,0.003,111.78504445411694
4,1,20,rmsprop,5,0.0009166183979013086,69.86541966089416
4,1,100,adam,1,0.0009313606183084542,47.8162447463936
4,1,100,adam,5,0.0008650360605854057,49.59097371439989
4,1,100,adam,5,0.0010762134670432215,45.70293873652031
4,1,50,rmsprop,5,0.003,48.56747324567431
128,30,30,sgd,2,0.0003852989464575017,317.1439237177084
128,30,30,sgd,2,0.0003852989464575017,293.68159435921467
52,22,95,sgd,2,0.0005954170074279363,281.28379439177047
59,8,63,sgd,3,0.0004327070867111168,257.9570238934177
120,25,77,sgd,1,0.0005826049138004882,290.38137561436054
111,27,86,adam,1,0.0009782530708402778,50.00245667214886
78,22,53,adam,2,0.00016215437582169925,173.17161869077484
101,14,23,rmsprop,4,0.00027600296293758185,116.80343278051714
59,8,26,rmsprop,1,0.0021596693945560405,51.33979967917681
19,17,27,sgd,5,0.00027641144569625053,341.7816005572441
76,19,69,sgd,2,0.00021940058959441153,292.507022187213
128,32,100,adam,3,0.0017905394931881633,105.16042854578323
128,1,20,rmsprop,1,0.001032463341433026,52.80062989687681
4,32,100,adam,5,0.003,62.27411662794326
4,1,20,rmsprop,1,0.003,54.12286917148731
128,32,100,rmsprop,2,0.0001,156.37034419740078
32,18,55,adam,2,0.000736148247663639,73.61520735302692
98,15,63,rmsprop,4,0.00010030674340356781,116.65435409340812
15,12,25,rmsprop,3,0.001790699552071994,72.13874981069125
128,1,20,rmsprop,5,0.003,55.91200417306856
128,1,100,rmsprop,1,0.003,55.93781581283451
